0 5.0000
1 5.0000
2 5.0000
3 5.0000
4 5.0000
5 5.0000
6 5.0000
7 5.0000
8 5.0000
9 5.0000
10 5.0000
11 5.0000
12 5.0000
13 5.0000
14 5.0000
15 5.0000
16 5.0000
17 5.0000
18 5.0000
19 5.0000
20 5.0000
21 5.0000
22 5.0000
23 5.0000
0 5.0000
1 5.0000
2 5.0000
3 5.0000
4 5.0000
5 5.0000
6 5.0000
7 5.0000
8 5.0000
9 5.0000
10 5.0000
11 5.0000
12 5.0000
13 5.0000
14 5.0000
15 5.0000
16 5.0000
17 5.0000
18 5.0000
19 5.0000
20 5.0000
21 5.0000
22 5.0000
23 5.0000
0 5.0000
1 5.0000
2 5.0000
3 5.0000
4 5.0000
5 5.0000
6 5.0000
7 5.0000
8 5.0000
9 5.0000
10 5.0000
11 5.0000
12 5.0000
13 5.0000
14 5.0000
15 5.0000
16 5.0000
17 5.0000
18 5.0000
19 5.0000
20 5.0000
21 5.0000
22 5.0000
23 5.0000
0 5.0000
1 5.0000
2 5.0000
3 5.0000
4 5.0000
5 5.0000
6 5.0000
7 5.0000
8 5.0000
9 5.0000
10 5.0000
11 5.0000
12 5.0000
13 5.0000
14 5.0000
15 5.0000
16 5.0000
17 5.0000
18 5.0000
19 5.0000
20 5.0000
21 5.0000
22 5.0000
23 5.0000
